Authors;Title;type;Link;Code;available;as;aim;documentation;doc_length;year;source;gh;pid;print;Links_2023-08-22;license;metadata
"Ceri Binding,
Douglas Tudhope";Automatic Normalization of Temporal Expressions;Research Article;https://doi.org/10.5334/jcaa.105;Python;https://github.com/cbinding/yearspans;compendium;research software;README;good;2023;journal website;y;n;;y;MIT;plenty
Petr Pajdla;Spatial Patterns and Grave Goods Differences at the Cemetery of Vedrovice (Czech Republic): A Resampling Approach to Identity Markers in the Early Neolithic;Case Study;https://doi.org/10.5334/jcaa.85;R code;https://doi.org/10.5281/zenodo.4899652;compendium;article reproducibility;README;good;2023;journal website;y;y;;y;MIT;some
Kalliopi Efkleidou et al;Smart Eye: An Application for In Situ Accessibility to “Invisible” Heritage Sites;Case Study;https://doi.org/10.5334/jcaa.100;no;no;;;;;2022;journal website;;;;;;
"Eduardo Herrera Malatesta ,
Jorge Ulloa Hung,
Corinne L. Hofman";Looking at the Big Picture: Using Spatial Statistical Analyses to Study Indigenous Settlement Patterns in the North-Western Dominican Republic;Research Article;https://doi.org/10.5334/jcaa.83;R code;https://doi.org/10.17605/OSF.IO/WUBA7 ;script;article reproducibility;README;little;2023;journal website;n;y;;y;no;some
"Shawn Ross,
Brian Ballsun-Stanton ,
Steve Cassidy,
Penny Crook,
Jens Klump,
Adela Sobotkova";FAIRer Data through Digital Recording: The FAIMS Mobile Experience;Research Article;https://doi.org/10.5334/jcaa.96;Java;https://github.com/FAIMS/trap-gridded-survey/releases/tag/v1.1;compendium;research software;README;good;2022;journal website;y;n;;y;CC BY 4.0;some
"Andrea Jalandoni ,
Maria Kottermair,
Boyd Dixon,
Victor Hara Torres";Effectiveness of 2020 Airborne Lidar for Identifying Archaeological Sites and Features on Guåhan (Guam);Case Study; https://doi.org/10.5334/jcaa.101;no, closed source programs used;no;;;;;2022;journal website;;;;;;
Thomas Keep;The Mernda VR Project: The Creation of a VR Reconstruction of an Australian Heritage Site;Case Study;https://doi.org/10.5334/jcaa.91;no;No, Blender data: 3D Vista files. Figshare. DOI: https://doi.org/10.26188/21259374  ;;;;;2022;journal website;;;;;;
Katherine Thomas;Exploratory GIS: Modelling Past Land Use and Occupancy with Functional Connectivity, Willandra Lakes Region World Heritage Area, NSW, Australia;Research Article ;https://doi.org/10.5334/jcaa.98;no;no;;;;;2022;journal website;;;;;;
Mikkel Nørtoft;A New Framework for Quantifying Prehistoric Grave Wealth;Case Study;https://doi.org/10.5334/jcaa.86;R code;https://doi.org/10.5281/zenodo.6992672 ,https://github.com/mnortoft/QuantWealth;compendium;article reproducibility;README;good;2022;journal website;y;y;;y;CC BY 4.0;plenty
Phyllis S. Johnson;Examining Gender Disparities in Computational Archaeology Publications: A Case Study in the Journal of Computational Applications in Archaeology and the Computer Applications and Quantitative Methods in Archaeology Conference Proceedings;Case Study;https://doi.org/10.5334/jcaa.84;no;no;;;;;2022;journal website;;;;;;
